ID,Premise,Hypothesis,Label,Topic,Anno,Anno_Type
7700,"Beatriz Enríquez de Arana después de la muerte Colón hizo que su primer hijo, Diego, le heredará toda su fortuna a su padre..",El descubridor no tuvo hijos.,cnt,10,20,Crowd
5871,"Gee (2004) niega que ""la teoría de aprendizaje incorporada a los buenos videojuegos se acerque más a lo que yo creo que son las mejores teorías del aprendizaje planteadas por la ciencia cognitiva"".",Gee ignora la teoría de aprendizaje dentro del ámbito de videojuegos.,cnt,3,5,Rewrite
7737,Un videojuego multijugador es aquel en que un jugador humano se enfrenta  auna máquina.,Un tipo de juego multijugador és el enfrentamiento,ent,10,20,Crowd
3308,"Se casó con Jacqueline en Vallauris el 2 de marzo de 1961, y en junio se trasladó a Notre-Dame-de-Vie en Mougins (cerca de Cannes).",Picasso no es un artista.,neutral,1,11,Automated
4555,En la Joven Orquesta de la Unión Europea coinciden músicos jóvenes con talento procedentes de la Unión Europea junto con profesores reconocidos internacionalmente para conformar una orquesta renombrada a escala internacional.,Los Estados se encargan esencialmente del deporte en sus respectivos países.,neutral,5,11,Automated
960,La afirmación que los restos óseos atribuidos al almirante que están en la catedral de Sevilla desde 1898 «sí son los de Cristóbal Colón» está basada en el estudio del ADN comparado con el de su hermano menor Diego y con los de su hijo Hernando.,Cristóbal Colón no tuvo descendencia.,cnt,2,3,Generate
5965,"Por último, en la década de 2010 emergen como plataformas de juegos los dispositivos táctiles portátiles, como los teléfonos inteligentes y las tabletas, llegando a un público muy amplio.",Los dispositivos táctiles portátiles no salieron al mercado en 2019.,neutral,3,7,Rewrite
3115,"Según el contenido del Nuevo Tratado de la Unión, la Unión Soviética estaba a punto de dividirse en varios Estados soberanos.",El Nuevo Tratado de la Unión contemplaba la unificación de la Unión Soviética.,cnt,6,3,Generate
5401,También continuó trabajando el tema de las bañistas biomórficas y el pintor y su modelo.,El pintor y su modelo no fue un tema de su trabajo.,cnt,1,5,Rewrite
3841,"Por último, en la década de 2010 emergen como plataformas de juegos los dispositivos táctiles portátiles, como los teléfonos inteligentes y las tabletas, llegando a un público muy amplio.","La ciencia ""ludología"" se ocupa del transtorno de ludopatía de los videojuegos de las personas. ",neutral,3,11,Automated
2203,Las Instituciones de la Unión Europea son los organismos políticos e instituciones en los que los estados miembros delegan parte de sus poderes y soberanía.,"El poder no reside totalmente en los estados miembros de la UE, puesto que ceden una parte a las instituciones.",ent,5,1,Generate
4245,65 países se negaron a competir en los Juegos Olímpicos de Moscú 1980 debido a la invasión soviética de Afganistán.,"Uno de los casos más famosos de cambio de nacionalidad para los Juegos Olímpicos fue Zola Budd , una corredora sudafricana que emigró al Reino Unido porque a Sudáfrica no se le permitía participar por sus políticas de apartheid .",neutral,4,12,Automated
3270,"Realizó también varios retratos con cierto parecido a Marie-Thérèse Walter, una joven adolescente que según algunos autores presumiblemente conoció por vez primera a principios de 1925 en la Estación de París Saint-Lazare.",Picasso celebró la navidad con Eva en Paris.,neutral,1,11,Automated
3311,"En enero de 1970, el Museo Picasso de Barcelona recibió la donación de las obras conservadas por su familia.",Hay quienes consideran que Picasso y el Greco tenían estilos similares en sus obras.,neutral,1,11,Automated
5675,"Entre 1474 y 1475 el padre de Hernando Colón habría viajado desde la isla de Quíos (Quío o Chío), posesión genovesa en el mar Egeo, como marino y probablemente también como comerciante.",Cristóbal Colón viajó a la isla de Quíos unos 18 años antes de hacer el descubrimiento que lo haría famoso: ser el primer europeo en viajar hasta América.,neutral,2,6,Rewrite
5306,"En este ambiente Picasso entró en contacto con el pensamiento anarquista, implantado en Barcelona.","La red Natura 2000 está formada por diferentes zonas de caza, en especial las que están dedicadas a la caza de aves.",neutral,1,14,Automated
1546,La comercialización de los juegos creados por las desarrolladoras es labor de las distribuidoras de videojuegos.,Los juegos solo se pueden encontrar en espacios públicos y no pueden ser comprados ya que vivimos en un estado comunista,cnt,3,9,Generate
5513,"Teniendo Las señoritas de Aviñón como punto de partida, Braque y Picasso no acabaron formulando el cubismo en 1908.",Las señoritas de Aviñón marcaron el comienzo del período azul.,neutral,1,7,Rewrite
5753,"Los frailes desaprobaron y desaconsejaron Colón a fray Hernando de Talavera, confesor de la reina Isabel I de Castilla.",Los frailes se quedaron impasibles ante el famoso navegante genovés y no le presentaron a fray Hernando de Talavera.,ent,2,7,Rewrite
1056,"Lo seguro es que Colón no solo logró arribar a las costas de América, sino que regresó a Europa, realizando un total de cuatro viajes y dando origen a una ruta para la navegación periódica y segura entre Europa y América.",Colón no logró arribar a las costas de América y tuvo que regresar a Europa sin pisar suelo  americano. ,cnt,2,10,Generate
7809,"Los Juegos Olímpicos antiguos tienen su fundamento en los Juegos Olímpicos modernos —llamados así por celebrarse en la ciudad de Atenas— que eran fiestas atléticas celebradas desde el año 1896 d. C.(la fecha más aceptada), y cada cuatro años, en el santuario de Atenea en Atenas, Grecia.",Hay diferentes propuestas acerca de la fecha en que se empezaron a celebrar los JJOO antiguos.,ent,10,20,Crowd
7704,Colón estuvo en América y Europa.,Colón nunca llegó a las costas de América,cnt,10,20,Crowd
5592,"En junio de 1496 Colón partió en su segundo viaje a bordo de la Niña, acompañado solo de la India, el primer buque construido en las Nuevas Tierras.",La India era el nombre que recibió el último buque construido en las Nuevas Tierras.,cnt,2,5,Rewrite
1699,"Pekín 2008 puede clasificar entre los tres Juegos más costosos, sin embargo las autoridades chinas no han dado a conocer los datos oficiales que permitan la comprobación de los costos.",China tiene experiencia de albergar unos Juegos Olímpicos.,ent,4,2,Generate
6902,En los 90s se celebraron los únicos juegos Olímpicos en un período menor a un cuatrienio. ,Los Juegos Olimpicos se celebran cada 4 años.,cnt,10,20,Crowd
5689,"El fracaso de Cristóbal Colón ante Juan II, sumado quizás a la campaña lanzada por el rey portugués contra la Casa de Braganza,​ llevó a Colón a emigrar de Portugal a los vecinos reinos de Castilla.","Colón no fracasó ante Juan II, que era el rey de Portugal de la época, de modo que probó suerte también en Castilla.",cnt,2,6,Rewrite
666,"En el testamento Colón se quejó de la pequeña cantidad —un cuento (millón) de maravedíes— que los Reyes Católicos habían puesto en 1492 para la empresa del descubrimiento, debiendo él mismo contribuir con capital para el viaje.","Cristóbal Colón tuvo que sufragar parte del viaje a las Américas, ya que Isabel y Fernando no cedieron mucho dinero para el proyecto.",ent,2,1,Generate
5948,"Un videojuego no es un juego electrónico en el que una o más personas interactúan, por medio de un controlador, con un dispositivo que muestra imágenes de video.","Los videojuegos se usan junto un controlador y un dispositivo que enseña imágenes estáticas, como fotos.",cnt,3,7,Rewrite
3087,"No existía una separación formal de los poderes entre el partido, el Soviet Supremo y el Consejo de Ministros que representaran a los poderes ejecutivo y legislativo del Gobierno.","El Soviet Supremo representó el poder ejecutivo del Gobierno, a su vez, el Consejo de Ministros representó el órgano legislativo.",cnt,6,2,Generate
1484,"Finalmente, en todo caso, los máximos responsables de las compañías evaluarán las posibilidades del juego propuesto en cuanto a comercialidad, originalidad, calidad, duración en el tiempo, posibilidades de promoción y decidirán las políticas de lanzamiento.",Las compañías no se ocupan de la evaluación de las posibilidades del juego.,cnt,3,2,Generate
391,"Diágilev rechazó los primeros bocetos por ser demasiado modernos y recargados, posteriormente Picasso los simplificaría.",Picasso presentó solo un bocete. ,cnt,1,2,Generate
6499,"Sobre la tasa de crecimiento natural de la población debe anotarse que la tasa de natalidad de casi todos los países de la Unión está creciendo,​ con excepción de Alemania, Italia, Grecia y Suecia.","En Suecia, la tasa de natalidad está bajando mucho más que en los otros países de la Unión.",ent,5,8,Rewrite
2716,"La Unión Soviética fue establecida en diciembre de 1922 como la Unión de las Repúblicas Socialistas Soviéticas de Rusia (conocida como Rusia bolchevique), Ucrania, Bielorrusia y Transcaucasia gobernadas por partidos bolcheviques.","Bielorrusia, Ucrania y Transcaucasia formaban parte de la Unión de las Repúblicas Socialistas Soviéticas de Rusia.",ent,6,1,Generate
6186,65 países se animaron a competir en los Juegos Olímpicos de Moscú 1980 debido a la invasión soviética de Afganistán.,65 países respaldaron la política externa de la URSS.,ent,4,6,Rewrite
408,"En 1925 Picasso pintó, para el cuarto cumpleaños de su hijo, Pablo de pierrot (El hijo del artista) (Museo Picasso, París), en un estilo naturalista similar al retrato de arlequín que pintó el año anterior.",Los estilos de dos retratos de Pablo no son semilares.,cnt,1,2,Generate
5111,"En octubre de 1977, fue aprobada por unanimidad la tercera constitución soviética, pero el estado de ánimo predominante en el liderazgo soviético durante el momento de la muerte de Brézhnev en 1982, era la aversión al cambio.",Braque dedicó el verano a pintar paisajes de estilo cubista.,neutral,6,14,Automated
3589,En diferentes países se conmemora el día del descubrimiento de América por parte de Colón el 12 de octubre de 1492.,Colón escribía al Banco de San Giorgio de Génova.,neutral,2,11,Automated
5124,"No obstante, Picasso aprovechó sus frecuentes visitas al Museo del Prado para conocer mejor la obra del Greco, que era vindicada por artistas y estudiosos de finales del siglo XIX.",Los historiadores coinciden en que el navegador genovés entró a Castilla por el purto de Brcelona.,neutral,1,14,Automated
1726,"En protesta a la situación de los derechos humanos en la República Popular China, las protestas del Tíbet y el conflicto de Darfur se llamó a boicotear Pekín 2008.",Es indudable que el año 2008 fue difícil para el pueblo chino.,ent,4,2,Generate
4666,"Cuando delibera y decide sobre un acto legislativo , las sesiones del Consejo son públicas .",La CECA es una organización que agrupa diversos estados europeos en su seno.,neutral,5,13,Automated
7777,Diego fue el primer hijo de Colón.,Colón no se casó pero tuvo un hijo.,ent,10,20,Crowd
2632,"Los reglamentos son normas jurídicas emanadas de las instituciones europeas que poseen efecto directo en los países miembros, y que prevalecen sobre el Derecho nacional de cada uno de ellos.",Se rehusa que los reglamentos tengan más poder jurídico que el Derecho nacional de los estados miembros.,cnt,5,2,Generate
3555,"El 25 de mayo hicieron escala por Gran Canaria y, tras una travesía de 21 días por el Atlántico, llegaron al Caribe, recalando en una bahía de La Española.",El Atlas de Cresques Abraham se realizó más de cien años antes de que Colón descubriera América.,neutral,2,11,Automated
7772,Picassono tuvo influencia sobre otros artistas,Picasso siempre fue considerado como un pintor que ejercio gran influencia en otros artistas.,ent,10,20,Crowd
2252,"El rasgo más característico de las directivas comunitarias es la ausencia de eficacia directa en los Ordenamientos a los que va dirigida, necesitando de una transposición por parte del Estado miembro para que entren en vigor y hagan nacer en los ciudadanos derechos y obligaciones.",Las directivas comunitarias no afectan a los ciudadanos del Estado miembro a menos que este haga una transposición para que así sea.,ent,5,1,Generate
6309,El anterior Presidente del Parlamento Europeo fue el italiano Antonio Tajani que fue elegido en enero de 2017 y que presidió una cámara compuesta por una gran variedad de partidos asociados en grupos.,Los partidos del parlamento Europeo ni se asocian en grupos ni son dirigidos por el presidente Antonio Tajani.,cnt,5,5,Rewrite
2460,"La UE ha tenido el poder legislativo en el ámbito de la política energética a lo largo de su existencia, teniendo sus raíces en la originaria Comunidad Europea del Carbón y del Acero.",La Unión Europea se ha desarrollado hasta ser la actual Comunidad Europea del Carbón y del Acero.,cnt,5,1,Generate
6649,"En octubre de 1977, fue aprobada por unanimidad la tercera constitución soviética, pero el estado de ánimo predominante en el liderazgo soviético durante el momento de la muerte de Brézhnev en 1982, era la aversión al cambio.","La Unión Soviética ya había rechazado dos constituciones antes del otoño de 1977, cuando se aprobó la tercera.",cnt,6,6,Rewrite
8052,El origen del descubridor de América es evidente.,Falta documentacion del origen i ascendencia de Colón,cnt,10,20,Crowd
4867,"El origen étnico de una persona era elegido a la edad de 16 años​ por los padres del niño; si estos no estaban de acuerdo, al niño se le asignaba automáticamente el origen étnico de la madre.",El KGB se ocupaba de el Servicio de Inteligencia Extranjera y el Servicio Federal de Seguridad de la Unión Soviética.,neutral,6,11,Automated
637,"Las arcas de los monarcas, debido a las distintas campañas bélicas y en especial la desarrollada durante la guerra de Granada —que culminó exitosamente la Reconquista con su toma por los cristianos—, no pasaban por sus mejores momentos.",El reino de Castilla no pasaba por su mejor momento económicamente debido a las recientes batallas contra los musulmanes.,ent,2,1,Generate
4917,"Después de la Segunda Guerra Mundial se añadieron los siguientes cuerpos armados: las Tropas de misiles estratégicos (1959), las Fuerzas de defensa antiaérea (1948) y las Tropas de Protección Civil (1970).","Algunos investigadores consideran que el ascenso fue real en su mayoría , a consecuencia del empeoramiento de las condiciones de salud y los servicios.119 El aumento en la mortalidad adulta e infantil no fue explicado o defendido por los funcionarios soviéticos , y el Gobierno soviético simplemente dejó de publicar todas las estadísticas de mortalidad durante diez años .",neutral,6,12,Automated
1801,"Otra fecha comúnmente citada de cuando finalizaron oficialmente los juegos es el 426 d. C., cuando el sucesor del emperador Teodosio I, Teodosio II ordenó la destrucción de todos los templos griegos.25​",Teodosio II dió fin  a los Juegos Olímpicos.,ent,4,9,Generate
4050,La ciencia que estudia los videojuegos se llama « ludología » o estudio de los juegos .,Las empresas que se dedican a crear videojuegos pueden ser muy grandes o muy pequeñas.,neutral,3,13,Automated
2117,"Así, en 1994, se realizaron los Juegos Olímpicos de Lillehammer, siendo la primera y única ocasión en que unos Juegos Olímpicos fueron celebrados en un periodo menor a cuatro años.",Los Juegos Olímpicos de Lillehammer se celebraron en el siglo XIX,cnt,4,10,Generate
7550,Los Juegos Olímpicos se inventaron en el continente africano.,El santuario de Zeus se construyó durante la edad media,neutral,10,20,Crowd
6225,"No se celebraron eventos de carreras, pentatlón —consistente en eventos de salto de longitud, lanzamiento de disco (discóbolo), jabalina, carrera pedestre y lucha (boxeo, lucha libre, pancracio) y eventos ecuestres.",El pancracio no es un tipo de deporte ecuestre.,ent,4,7,Rewrite
3529,"El fracaso de Cristóbal Colón ante Juan II, sumado quizás a la campaña lanzada por el rey portugués contra la Casa de Braganza,​ llevó a Colón a emigrar de Portugal a los vecinos reinos de Castilla.",España ordenó a Portugal que buscara una nueva ruta de la especiaría con Asia Oriental.,neutral,2,11,Automated
5026,"La población total fue estimada en 293 millones en 1991 y según una estimación de 1990 , la mayoría eran rusos ( 50,78 % ) , seguidos por los ucranianos ( 15.45 % ) y uzbekos ( 5,84 % ) .121",Cuba era un país aliado a la Unión Soviética.,neutral,6,13,Automated
1470,"La industria de videojuegos ha experimentado en los últimos años altas tasas de crecimiento, debido al desarrollo de la computación, capacidad de procesamiento, imágenes más reales y la estrecha relación entre películas de cine y los videojuegos.",El desarrollo de las tecnologías no influyó de ninguna manera en la industria de videojuegos.,cnt,3,2,Generate
3936,"El proceso que va desde la concepción de un videojuego hasta su desarrollo y comercialización, está muy marcado por las pautas que establece el mercado.","En 1993 Paul Rozin , un profesor en psicología de la Universidad de Pensilvania , realizó un estudio en el que evaluó el potencial adictivo de los videojuegos en comparación con otras sustancias y actividades potencialmente adictivas .",neutral,3,12,Automated
2567,"A diferencia de los estados de los Estados Unidos, los estados miembros de la Unión Europea no están obligados a una forma republicana de gobierno.","Al afiliarse a la UE, cada estado miembro debe cambiar la forma de gobierno actual a la republicana.",cnt,5,2,Generate
1200,"Las principales asociaciones sectoriales en España son AEVI (Asociación Española de Videojuegos), que engloba a compañías que facturan el 90 % de los ingresos totales del sector, y DEV (Desarrollo Español de Videojuegos), que agrupa a las principales compañías desarrolladoras del país.",DEV no agrupa a todas las compañías desarrolladoras de España.,ent,3,2,Generate
6287,El atleta camerunés George Poage se convertiría en el primer deportista negro en ganar una medalla olímpica.,"Aunque muchos lo han intentado, ningún deportista negro ha ganado una medalla en los Juegos Olímpicos.",cnt,4,8,Rewrite
6568,"Las autoridades locales se organizaban mediante los comités del partido locales, los sóviets locales y los comités ejecutivos.",Los sóviets locales y los comités ejecutivos no eran un tipo de organismo de las autoridades locales.,cnt,6,5,Rewrite
4894,"Según unas encuestas realizadas en 2011, a uno de cada cinco rusos le gustaría vivir nuevamente en la Unión Soviética.",Rusia y Alemania fueron aliados hasta el final de la guerra. ,neutral,6,11,Automated
128,"También pintó Mujer con estilete (Muerte de Marat), que tras la fuente histórica refleja el rencor creciente hacia los celos y la posesividad de Olga.","La relación del pintor con Olga no siempre fue buena, como se puede ver en algunas de sus obras, por ejemplo, en Mujer con estilete (Muerte de Marat).",ent,1,1,Generate
4488,"La UE ha señalado que está interesada en cerrar acuerdos de libre comercio con los países latinoamericanos,​ los cuales están integrados en varios grupos regionales.",Los problemas de medioambiente no han surgido en los últimos cinco años.,neutral,5,11,Automated
4260,"En Los Ángeles 1984, gracias a la venta de derechos exclusivos de patrocinio, el comité organizador generó un superávit presupuestario.","Meses antes de cada edición de los Juegos , la llama olímpica se enciende en Olimpia , en una ceremonia que refleja los antiguos ritos griegos .",neutral,4,12,Automated
5349,"Hacia finales de septiembre Picasso marcha de París con Eva para recoger sus pertenencias y mudarse al nuevo estudio, donde se instalan el primero de octubre.","Picasso no se mudó con Eva a París, donde se encontraba su nuevo estudio.",neutral,1,5,Rewrite
4766,"A finales de 1950, tuvo lugar una confrontación con China relacionada con el acercamiento de la Unión Soviética a Occidente que Mao Zedong percibió como un acto de revisionismo lo cual condujo a la ruptura Chino-Soviética.",Lenin era un ídolo para el gobierno soviético.,neutral,6,11,Automated
2102,"Las estimaciones globales de audiencia de México 1968 fue de 600 millones, mientras que, en Los Ángeles 1984, la audiencia aumentó a 900 millones, para Barcelona 1992, la audiencia fue de 3500 millones de personas.","Las estimaciones globales de audiencias estimulan una bajada de millones de personas, un ejemplo de ello, es en Barcelona 1992.",cnt,4,9,Generate
57,"Picasso empezó a ser apreciado por los coleccionistas; amigo de los Stein, que acababan de comprarle las Tres mujeres, el suizo Hermann Rupf compró varias obras suyas, y Dutilleul (cliente también de Braque) inició su colección.",El cuadro picassiano de Las Tres Mujeres fue comprado por los hermanos Stein.,ent,1,1,Generate
4590,"El derecho de la Unión Europea es el conjunto de normas y principios que determinan el funcionamiento, corporación y competencias de la Unión Europea.","En primer lugar , el reglamento será adoptado por el Consejo a propuesta de la Comisión y con la aprobación del Parlamento .",neutral,5,12,Automated
2471,"Al principio, estas reformas incluían la política de separar una porción de tierra de la producción, imponer cuotas en la producción lechera, etc.",La reforma pretendía mantener todo el territorio de producción unido.,cnt,5,1,Generate
2743,"Jrushchov inició «el deshielo» mejor conocido como el Deshielo de Jrushchov, un complejo cambio en la vida política, cultural y económica de la Unión Soviética.",El Deshielo de Jrushchov no tiene nada que ver con un fenómeno meteorológico.,ent,6,1,Generate
5815,"«El gobierno de Colón se distinguió por una forma de tiranía», afirma Consuelo Varela Bueno, historiadora española que estudió y publicó documentos.",Bueno afirma que Colón era un gobernador cruel y despiadado.,ent,2,8,Rewrite
185,Picasso está enterrado en el parque del castillo de Vauvenargues (Bouches-du-Rhone).,Picasso no está enterrado en España.,ent,1,9,Generate
5949,"Un videojuego no es un juego electrónico en el que una o más personas interactúan, por medio de un controlador, con un dispositivo que muestra imágenes de video.","Los videojuegos se usan sin un controlador y un dispositivo que enseñe imágenes estáticas, como fotos.",neutral,3,7,Rewrite
828,"Lo seguro es que Colón no solo logró arribar a las costas de América, sino que regresó a Europa, realizando un total de cuatro viajes y dando origen a una ruta para la navegación periódica y segura entre Europa y América.",Colón estuvo en América y Europa.,ent,2,10,Generate
3450,También tiene una breve obra literaria .,La introducción de nuevas técnicas y materiales fue retrasada.,neutral,1,13,Automated
2042,"Por último, Flyvbjerg y Stewart encontraron que en la última década, el sobrecoste en los Juegos ha descendido a niveles más regulares de este tipo de megaproyectos.",Cada vez es más caro organizar unos Juegos Olímpicos. ,cnt,4,4,Generate
4665,"Tras años de retraso , el proyecto pretende completar una red de 26 satélites en órbita para 2017 , más seis de repuesto.246 Galileo fue lanzado en parte para reducir la dependencia de la UE sobre el Sistema de Posicionamiento Global ( GPS ) estadounidense , y también para dar una cobertura mundial más completa y permitir una exactitud mucho mayor , dada la antigüedad del sistema GPS.247 Algunos han criticado al sistema Galileo debido a su elevado coste , sus varios retrasos , y por su percepción de redundancia , dada la existencia del sistema GPS.248","Livigno, que pertenece a Italia, es considerado un territorio especial sin ser un exclave.",neutral,5,13,Automated
50,"En la ausencia de Fernande, Max Jacob y Apollinaire habían persuadido a Picasso de fumar opio; Picasso se movía entre las bendiciones de las visiones y el temor a entregarse a la apatía y el hastío hacia el trabajo.","Picasso fumó opio a causa de la influencia de Jacob y Apollinaire, quienes lo convencieron en ausencia de Fernande.",ent,1,1,Generate
